,titles,images,ratings,prices,product_urls
113,"Nothing Phone (2a) Plus (Black, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/k/i/-original-imah39xxhwwey8hr.jpeg?q=70,4.4,"₹23,999",https://flipkart.com/nothing-phone-2a-plus-black-256-gb/p/itm0c99b11bfe22d?pid=MOBH322WAAXVHY3N&lid=LSTMOBH322WAAXVHY3NLREZGL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_94&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH322WAAXVHY3N.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
114,"Nothing Phone (2a) Plus (Grey, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/b/2/phone-2a-plus-a142p-nothing-original-imah39xqpuzgsgcj.jpeg?q=70,4.4,"₹25,999",https://flipkart.com/nothing-phone-2a-plus-grey-256-gb/p/itm0c99b11bfe22d?pid=MOBH322WK4BRFDPX&lid=LSTMOBH322WK4BRFDPXYMNJ48&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_95&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH322WK4BRFDPX.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
115,"realme P1 5G (Feather Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/x/f/-original-imah4khx9u3zxdbk.jpeg?q=70,4.4,"₹15,999",https://flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKTWXF8GH3&lid=LSTMOBH4GSKTWXF8GH3THMYM8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GSKTWXF8GH3.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
116,No Title,No Image,No Rating,No Price,https://flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKTWXF8GH3&lid=LSTMOBH4GSKTWXF8GH3THMYM8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GSKTWXF8GH3.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
117,No Title,No Image,No Rating,No Price,https://flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKTWXF8GH3&lid=LSTMOBH4GSKTWXF8GH3THMYM8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GSKTWXF8GH3.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
118,No Title,https://rukminim2.flixcart.com/image/300/300/xif0q/mobile/e/o/w/-original-imagzcfjjbheykct.jpeg?q=90,4.1,No Price,https://flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKTWXF8GH3&lid=LSTMOBH4GSKTWXF8GH3THMYM8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GSKTWXF8GH3.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
119,No Title,No Image,No Rating,No Price,https://flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKTWXF8GH3&lid=LSTMOBH4GSKTWXF8GH3THMYM8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GSKTWXF8GH3.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
120,No Title,//static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_62673a.png,No Rating,No Price,https://flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKTWXF8GH3&lid=LSTMOBH4GSKTWXF8GH3THMYM8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GSKTWXF8GH3.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
121,No Title,//static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/buying-guide-illustration_4dd325.png,No Rating,No Price,https://flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKTWXF8GH3&lid=LSTMOBH4GSKTWXF8GH3THMYM8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GSKTWXF8GH3.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
122,"realme P1 5G (Peacock Green, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/b/n/-original-imahyuhfzvybhaat.jpeg?q=70,4.4,"₹18,999",https://flipkart.com/realme-p1-5g-peacock-green-256-gb/p/itmae4447062b5b5?pid=MOBGYQ6BMZHJBQSN&lid=LSTMOBGYQ6BMZHJBQSNQ5LHLN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_97&otracker=search&otracker1=search&fm=Search&iid=81ca5b0b-6cde-44c1-8909-3c9856fb0c36.MOBGYQ6BMZHJBQSN.SEARCH&ppt=sp&ppn=sp&ssid=orw52mqfr40000001730665767388&qH=eb4af0bf07c16429
